key,numeric type,string type,ID,time ratio,number of line segments,mean speed,standard deviation in speed,number of acceleration points,length,ratio of width to length,type of cargo,receiver class,number of neighbors
CALLWDK8392_MMSI368093690,37,Pleasure Craft/Sailing,call sign,0.0,0.495,0.31,0.4626,0.4502,0.2142,0.3333,0,B,0.0046
CALLWDK8403_MMSI368093820,36,Pleasure Craft/Sailing,call sign,0.0313,0.5075,0.4156,0.4678,0.4502,0.2497,0.3636,0,B,0.0046
CALLWDK8418_MMSI368093970,0,Unknown,call sign,0.4964,0.5175,0.4452,0.4746,0.6457,0.0998,0,2.7,A,0.5056
CALLWDK8438_MMSI368094160,30,Fishing,call sign,0.2564,0.515,0.3757,0.4716,0.4502,0.5,0.3182,0,B,0.0046
CALLWDK8445_MMSI368094230,99,Other,call sign,0.3237,0.515,0.6422,0.5095,0.4502,0.5987,0.2308,0.0,A,0.0046
CALLWDK8455_MMSI368094340,36,Pleasure Craft/Sailing,call sign,0.0113,0.5025,0.4675,0.4663,0.4502,0.3318,0.2667,0,B,0.0046
CALLWDK8509_MMSI368094860,30,Fishing,call sign,0.138,0.5125,0.4968,0.5042,0.4502,0.31,0.4286,0,B,0.0046
CALLWDK8519_MMSI368094960,30,Fishing,call sign,0.3002,0.515,0.3968,0.4955,0.8022,0.6682,0.2759,0,B,0.0046
CALLWDK8523_MMSI368094990,30,Fishing,call sign,0.0303,0.5,0.43,0.4812,0.4502,0.7109,0.2903,0,B,0.0046
CALLWDK8542_MMSI368095130,30,Fishing,call sign,0.3523,0.5671,0.475,0.4661,0.4502,0.5,0.3182,0,B,0.2613
CALLWDK8545_MMSI368095160,36,Pleasure Craft/Sailing,call sign,0.5809,0.52,0.4626,0.4738,0.4502,0.3543,0.3125,0,B,0.273
CALLWDK8559_MMSI368095310,37,Pleasure Craft/Sailing,call sign,0.0193,0.505,0.4388,0.4656,0.4502,0.2891,0.5385,0,B,0.0046
CALLWDK8564_MMSI368095360,52,Unknown,call sign,0.0289,0.5075,0.4071,0.4775,0.4502,0.6457,0.5714,5.0,A,0.0046
CALLWDK8574_MMSI368095470,30,Fishing,call sign,0.2771,0.5125,0.383,0.4673,0.4502,0.525,0.3043,0,B,0.0046
CALLWDK8577_MMSI368095510,52,Unknown,call sign,0.0247,0.5025,0.4576,0.4783,0.4502,0.5498,0.3333,3.2,A,0.0046
CALLWDK8602_MMSI368095720,37,Pleasure Craft/Sailing,call sign,0.0281,0.5025,0.3989,0.4712,0.4502,0.475,0.2381,0,B,0.0046
CALLWDK8628_MMSI368095970,36,Pleasure Craft/Sailing,call sign,0.0214,0.505,0.4425,0.4658,0.4502,0.2891,0.3846,0,B,0.0046
CALLWDK8632_MMSI368096020,30,Fishing,call sign,0.0295,0.505,0.5788,0.4841,0.4502,0.2689,0.5,0,B,0.0046
CALLWDK8633_MMSI368096030,30,Fishing,call sign,0.0655,0.51,0.4923,0.5004,0.4502,0.3318,0.4,0,B,0.0046
CALLWDK8642_MMSI368096120,36,Pleasure Craft/Sailing,call sign,0.1602,0.515,0.4593,0.4766,0.9802,0.2315,0.1,0,B,0.0046
CALLWDK8665_MMSI338338074,37,Pleasure Craft/Sailing,call sign,0.0206,0.5025,0.43,0.4774,0.937,0.3543,0.5,0,B,0.0046
CALLWDK8676_MMSI368058410,37,Pleasure Craft/Sailing,call sign,0.0213,0.5075,0.4579,0.4701,0.4502,0.3318,0.3333,0,B,0.402
CALLWDK8706_MMSI368096640,36,Pleasure Craft/Sailing,call sign,0.1011,0.5125,0.4695,0.475,0.8699,0.3318,0.4667,0,B,0.3783
CALLWDK8725_MMSI368096820,30,Fishing,call sign,0.0734,0.5075,0.473,0.4716,0.4502,0.475,0.3333,0,B,0.3754
CALLWDK8764_MMSI368097160,57,Other,call sign,0.7353,0.5424,0.4161,0.4736,0.4502,1.0,0.1063,2.6,A,0.4979
CALLWDK8767_MMSI368097190,57,Other,call sign,0.4446,0.5175,0.3846,0.4694,0.8022,0.9998,0.1651,2.9,A,0.5408
CALLWDK8799_MMSI368097520,57,Other,call sign,0.375,0.5175,0.4497,0.4777,0.4502,1.0,0.078,2.7,A,0.492
CALLWDK8805_MMSI368097570,56,Other,call sign,0.6351,0.5175,0.4297,0.4759,0.8022,0.9999,0.292,2.7,A,0.4506
CALLWDK8807_MMSI368097590,57,Other,call sign,0.458,0.5175,0.4305,0.474,0.4502,1.0,0.0773,2.7,A,0.3025
CALLWDK8823_MMSI368097760,30,Fishing,call sign,0.1342,0.5125,0.3799,0.4753,0.4502,0.475,0.2857,0,B,0.3694
CALLWDK8837_MMSI368097920,37,Pleasure Craft/Sailing,call sign,0.0,0.495,0.31,0.4626,0.4502,0.2891,0.3846,0,B,0.0046
CALLWDK8856_MMSI368098110,37,Pleasure Craft/Sailing,call sign,0.1434,0.5125,0.501,0.4744,0.4502,0.2891,0.3077,0,B,0.5612
CALLWDK8861_MMSI368098160,37,Pleasure Craft/Sailing,call sign,0.0,0.495,0.3318,0.4626,0.4502,0.2689,0.3333,0,B,0.0046
CALLWDK8863_MMSI368098180,36,Pleasure Craft/Sailing,call sign,0.02,0.505,0.3818,0.4728,0.4502,0.2142,0.4444,0,B,0.0046
