CALLCFA2080_MMSI316042041,36,14,8,,B
CALLCFA2246_MMSI316011357,36,14,4,,B
CALLCFA2294_MMSI316033384,36,11,6,,B
CALLCFA2311_MMSI316006919,36,14,4,,B
CALLCFA2341_MMSI316033712,52,,,,B
CALLCFA2416_MMSI316016415,36,11,4,,B
CALLCFA2417_MMSI316028733,36,12,3,,B
CALLCFA2541_MMSI316035807,37,18,6,1.6,A
CALLCFA2542_MMSI316035819,37,0,0,,B
CALLCFA2547_MMSI316035876,37,13,4,,B
CALLCFA2548_MMSI316035906,36,14,4,,B
CALLCFA2572_MMSI316035956,90,13,4,,B
CALLCFA2579_MMSI316033905,37,15,5,,B
CALLCFA2601_MMSI316036294,51,14,0,,B
CALLCFA2615_MMSI316012046,35,17,7,0.0,A
CALLCFA2619_MMSI316001655,36,10,4,,B
CALLCFA2645_MMSI316035914,36,13,4,,B
CALLCFA2646_MMSI316033327,37,12,4,,B
CALLCFA2736_MMSI316037705,37,17,4,,B
CALLCFA2755_MMSI316023944,57,13,4,,B
CALLCFA2868_MMSI316038854,54,20,7,1.6,A
CALLCFA2888_MMSI316039002,51,7,2,,B
CALLCFA2903_MMSI316036765,54,10,3,0.0,A
CALLCFA2907_MMSI316039101,36,14,5,,B
CALLCFA2915_MMSI316039107,36,12,3,,B
CALLCFA2918_MMSI316036768,54,0,0,0.0,A
CALLCFA2920_MMSI316039149,37,18,16,,B
CALLCFA2934_MMSI316039275,60,22,6,,B
CALLCFA2940_MMSI316039184,37,11,3,,B
CALLCFA2949_MMSI316039229,37,31,8,,B
CALLCFA2974_MMSI316039567,37,13,4,,B
CALLCFA3082_MMSI316040898,54,14,4,,B
CALLCFA3125_MMSI316041527,36,5,4,,B
CALLCFA3147_MMSI316041809,36,13,7,,B
CALLCFA3148_MMSI316041803,37,13,4,,B
CALLCFA3183_MMSI316041942,36,11,4,,B
CALLCFA3186_MMSI316042097,37,20,6,,B
CALLCFA3224_MMSI316042651,36,12,3,,B
CALLCFA3227_MMSI316026305,37,12,4,,B
CALLCFA3234_MMSI316008244,37,12,3,,B
CALLCFA3235_MMSI316043102,36,10,4,,B
CALLCFA3256_MMSI316042208,37,22,5,,B
CALLCFA3257_MMSI316041699,37,14,8,,B
CALLCFA3266_MMSI316008190,30,39,8,,B
CALLCFA3315_MMSI316044504,36,12,4,,B
CALLCFA3319_MMSI316044638,37,11,4,,B
CALLCFA3324_MMSI316029959,37,26,7,,B
CALLCFA3337_MMSI316004932,52,20,8,4.2,A
CALLCFA3364_MMSI316045226,37,15,5,,B
CALLCFA3428_MMSI316046398,37,21,7,,B
CALLCFA3431_MMSI316046596,37,0,0,,B
CALLCFA3437_MMSI316046639,37,0,0,,B
CALLCFA3470_MMSI316046926,36,11,4,,B
CALLCFA3493_MMSI316035447,36,11,4,,B
CALLCFA3501_MMSI316047525,36,12,6,,B
CALLCFA3518_MMSI316047662,36,12,4,,B
CALLCFC2022_MMSI316034012,60,,,,B
CALLCFC6783_MMSI316015632,30,18,6,2.8,A
CALLCFC9244_MMSI316005583,31,18,5,3.5,B
CALLCFC9357_MMSI316028561,30,11,3,1.6,B
CALLCFDP_MMSI316033887,36,12,3,,B
CALLCFDT_MMSI316033953,,,,,A
CALLCFE9808_MMSI316001556,90,13,4,2.2,A
CALLCFFC_MMSI316034963,52,16,6,3.6,A
CALLCFG7255_MMSI316001481,0,13,4,2.2,A
CALLCFG7267_MMSI316023452,30,21,,,A
CALLCFG7337_MMSI316329000,37,33,6,,B
CALLCFG7406_MMSI316034449,37,22,4,,B
CALLCFG7407_MMSI316013073,30,,,,B
CALLCFG7589_MMSI316011765,36,,,,B
CALLCFG7677_MMSI316001759,90,15,6,2.7,A
CALLCFG7697_MMSI316003544,90,13,4,2.2,A
CALLCFG7703_MMSI316004106,90,13,4,2.2,A
CALLCFG7741_MMSI316005204,90,13,4,2.2,A
CALLCFG7744_MMSI316005337,51,13,4,2.2,A
CALLCFH8576_MMSI316006356,31,13,5,2.8,A
CALLCFH8961_MMSI316005524,,12,3,2.0,B
CALLCFJ8304_MMSI316150000,,13,4,2.8,B
CALLCFK3971_MMSI316033913,36,11,6,,B
CALLCFK5001_MMSI316023761,37,31,6,3.6,B
CALLCFK5005_MMSI316022299,,13,4,4.0,B
CALLCFK5010_MMSI316026014,37,17,,,B
CALLCFK5029_MMSI316026079,36,14,4,,B
CALLCFK5044_MMSI316021369,36,,,,B
CALLCFK5047_MMSI316014177,51,8,3,1.3,B
CALLCFK5060_MMSI316026269,37,33,6,3.1,B
CALLCFK5082_MMSI316026363,37,,,,B
CALLCFK5153_MMSI316005866,51,,,,B
CALLCFK5228_MMSI316027057,37,,,,B
CALLCFK5241_MMSI316027199,,,,,B
CALLCFK5300_MMSI316034254,36,15,4,,B
CALLCFK5368_MMSI316027733,,13,3,1.8,A
CALLCFK5370_MMSI316027734,,13,3,1.8,A
CALLCFK5372_MMSI316027782,37,14,4,2.7,B
CALLCFK5402_MMSI316027951,37,15,4,,B
CALLCFK5453_MMSI316007504,,,,,B
CALLCFK5460_MMSI316028373,,,,,B
CALLCFK5480_MMSI316028464,,,,,B
CALLCFK7891_MMSI316026648,36,15,4,,B
CALLCFK9064_MMSI316014858,37,10,4,1.5,B
