latitude,longitude,number of ships,inflection fraction
27,-131.0356046,644,0
27,-129.9873198,754,0
27,-128.9390349,446,0.002242153
27,-127.8907501,949,0.001053741
27,-126.8424652,1152,0
27,-125.7941804,1026,0.000974659
27,-124.7458956,900,0.002222222
27,-123.6976107,675,0.001481482
27,-122.6493259,546,0
27,-121.6010411,1347,0.000742391
27,-120.5527562,1305,0
27,-119.5044714,1198,0
27,-118.4561865,1127,0.000887311
27,-117.4079017,3068,0.000651891
27,-116.3596169,2711,0
27,-115.311332,13954,0.000644976
27,-114.2630472,4449,0.001573387
27,-97.49048982,34732,0.001007716
27,-96.44220498,16625,0.000962406
27,-95.39392014,7758,0.000515597
27,-94.3456353,14504,0.000689465
27,-93.29735047,6872,0.000291036
27,-92.24906563,8182,0.000855537
27,-91.20078079,3806,0.00341566
27,-90.15249596,928,0.005387931
27,-89.10421112,1892,0.001057083
27,-88.05592628,5015,0.001794616
27,-87.00764145,3107,0.002896685
27,-85.95935661,1074,0.003724395
27,-84.91107177,494,0.004048583
27,-83.86278694,3038,0.000329164
27,-82.8145021,33185,0.002109387
27,-81.76621726,10143,0.004239377
27,-80.71793243,4582,0.007856831
27,-79.66964759,93547,0.002469347
27,-78.62136275,2233,0.004926108
27,-77.57307792,288,0.003472222
27,-76.52479308,187,0.005347594
27,-75.47650824,714,0
27,-74.42822341,508,0
27,-73.37993857,132,0
27,-72.33165373,55,0
27,-71.2833689,3,0
27,-70.23508406,4,0.25
27,-69.18679922,4,0
28,-140.9971906,5,0
28,-139.9449728,14,0
28,-138.8927549,88,0.022727273
28,-137.8405371,216,0
28,-136.7883193,114,0.01754386
28,-135.7361014,186,0
28,-134.6838836,300,0
28,-133.6316657,260,0.003846154
28,-132.5794479,505,0.001980198
28,-131.5272301,698,0.001432665
28,-130.4750122,696,0
28,-129.4227944,770,0.001298701
28,-128.3705765,712,0.001404494
28,-127.3183587,446,0
28,-126.2661409,561,0
28,-125.213923,885,0
28,-124.1617052,985,0
28,-123.1094873,1275,0.000784314
28,-122.0572695,1122,0
28,-121.0050517,663,0
28,-119.9528338,1536,0
28,-118.900616,3287,0.000912686
28,-117.8483981,2609,0.001533155
28,-116.7961803,4735,0.000211193
28,-115.7439625,15754,0.000888663
28,-114.6917446,6434,0.000621697
28,-113.6395268,152,0.02631579
28,-98.908477,2,0
28,-97.85625916,28553,0.005323434
28,-96.80404132,126104,0.001808032
28,-95.75182348,43497,0.000390832
28,-94.69960564,39183,0.000484904
28,-93.6473878,13930,0.001220388
28,-92.59516996,47144,0.00053029
28,-91.54295212,20245,0.002025191
28,-90.49073428,18382,0.002121641
28,-89.43851644,18351,0.001035366
28,-88.3862986,10432,0.002875767
28,-87.33408076,5619,0
28,-86.28186292,4959,0.000403307
28,-85.22964508,6417,0
28,-84.17742724,7109,0
28,-83.1252094,60431,0.002233953
28,-82.07299156,27831,0.004132083
28,-81.02077372,25708,0.003928738
28,-79.96855588,56659,0.000494185
28,-78.91633804,9309,0.000644538
28,-77.8641202,3984,0.000251004
28,-76.81190235,1661,0.001204094
28,-75.75968451,771,0.001297017
28,-74.70746667,183,0
28,-73.65524883,70,0.014285714
28,-72.60303099,24,0
28,-71.55081315,17,0
28,-70.49859531,6,0
29,-140.4933448,5,0
29,-139.4370039,57,0.01754386
29,-138.380663,61,0.016393443
29,-137.324322,196,0
29,-136.2679811,222,0
29,-135.2116401,295,0
29,-134.1552992,522,0.001915709
29,-133.0989583,428,0
29,-132.0426173,452,0
29,-130.9862764,506,0
29,-129.9299354,415,0
29,-128.8735945,413,0
29,-127.8172536,1233,0
29,-126.7609126,1713,0
29,-125.7045717,1636,0.000611247
29,-124.6482308,2272,0
29,-123.5918898,1339,0.000746826
29,-122.5355489,1990,0.001507538
29,-121.4792079,2095,0
29,-120.422867,3085,0.000648298
29,-119.3665261,2901,0.000689417
29,-118.3101851,2681,0.002237971
29,-117.2538442,6581,0.001063668
29,-116.1975032,15489,0.000968429
29,-115.1411623,2990,0.001337793
29,-97.18336635,2307,0.011270048
29,-96.12702541,77679,0.001428958
29,-95.07068447,387432,0.002666274
29,-94.01434353,119314,0.000377156
29,-92.9580026,79978,0.000650179
29,-91.90166166,63886,0.00092352
29,-90.84532072,68114,0.001600258
29,-89.78897978,315719,0.002242501
29,-88.73263884,80327,0.002303086
29,-87.6762979,13236,0.001359928
29,-86.61995696,3677,0.000543922
29,-85.56361603,9769,0.000511823
29,-84.50727509,8591,0.00128041
29,-83.45093415,8522,0.000586717
29,-82.39459321,1664,0.003605769
29,-81.33825227,14733,0.002850743
29,-80.28191133,42251,0.000544366
29,-79.22557039,6078,0.000658111
29,-78.16922946,1824,0
29,-77.11288852,181,0
29,-76.05654758,856,0.001168224
29,-75.00020664,845,0.001183432
29,-73.9438657,415,0.002409639
29,-72.88752476,68,0
29,-71.83118382,55,0
29,-70.77484289,15,0
29,-69.71850195,1,0
30,-143.1891232,1,0
30,-138.9464825,2,0
30,-137.8858223,179,0
30,-136.8251622,172,0.005813954
30,-135.764502,403,0
30,-134.7038418,755,0.00397351
30,-133.6431816,1247,0.000801925
30,-132.5825215,801,0.00124844
30,-131.5218613,900,0
30,-130.4612011,1146,0.001745201
30,-129.400541,1236,0
30,-128.3398808,1311,0
30,-127.2792206,678,0
30,-126.2185604,1618,0.001236094
30,-125.1579003,2531,0
30,-124.0972401,4211,0.003087153
30,-123.0365799,3738,0.000267523
30,-121.9759198,3907,0.000255951
30,-120.9152596,1880,0.00106383
30,-119.8545994,1521,0.003287311
30,-118.7939392,2947,0.001017984
30,-117.7332791,12920,0.002244582
30,-116.6726189,15433,0.000712758
30,-115.6119587,2332,0.001715266
30,-95.45941546,236302,0.003948337
30,-94.39875529,209616,0.002270819
30,-93.33809512,249040,0.001879216
30,-92.27743494,133960,0.001254106
30,-91.21677477,404215,0.002622367
30,-90.1561146,466228,0.002859116
30,-89.09545443,125480,0.001705451
30,-88.03479426,98405,0.003058788
30,-86.97413409,25638,0.003042359
30,-85.91347391,37025,0.004591492
30,-84.85281374,21894,0.001826985
30,-83.79215357,4303,0.000929584
30,-81.67083323,86092,0.002659945
30,-80.61017306,26246,0.000457213
30,-79.54951288,5562,0.000179791
30,-78.48885271,2110,0
30,-77.42819254,958,0.001043841
30,-76.36753237,254,0
30,-75.3068722,722,0.001385042
30,-74.24621202,539,0.001855288
30,-73.18555185,24,0
30,-72.12489168,64,0.015625
30,-71.06423151,23,0
30,-70.00357134,13,0
30,-68.94291117,8,0
31,-143.7995699,14,0
31,-142.7343879,5,0
31,-140.6040239,7,0
31,-139.5388419,250,0
31,-138.4736599,238,0
31,-137.4084779,84,0.011904762
31,-136.3432959,172,0
31,-135.2781139,300,0.003333333
31,-134.2129319,413,0.002421308
31,-133.1477499,873,0.001145475
31,-132.0825679,1278,0.000782473
31,-131.0173859,1404,0.000712251
31,-129.9522039,1797,0
31,-128.8870219,3245,0
31,-127.8218399,1942,0
31,-126.7566579,2081,0
31,-125.6914759,3123,0.000960615
31,-124.6262939,5674,0.001586183
31,-123.5611119,4900,0.000408163
31,-122.4959299,3422,0.002337814
31,-121.4307479,1496,0
31,-120.3655659,2324,0.000430293
31,-119.3003839,4249,0.000706049
31,-118.2352019,17426,0.00166418
31,-117.1700199,20040,0.001097804
31,-116.1048379,3935,0.00025413
31,-115.0396559,1,1
31,-92.67083391,2407,0.005816369
31,-91.60565191,133777,0.0014726
31,-89.47528791,1,1
31,-88.41010591,61267,0.003329688
31,-87.34492391,743,0.00807537
31,-86.27974191,51,0
31,-82.01901392,5100,0.012745098
31,-80.95383192,75799,0.001675484
31,-79.88864992,14892,0.00020145
31,-78.82346792,4249,0.001647447
31,-77.75828592,1704,0.001760563
31,-76.69310392,509,0
31,-75.62792192,326,0
31,-74.56273993,489,0
31,-73.49755793,340,0.002941177
31,-72.43237593,105,0
31,-71.36719393,43,0
31,-70.30201193,12,0
31,-69.23682993,9,0
31,-66.04128393,5,0.2
31,-61.78055594,1,0
32,-142.2984725,2,0
32,-141.2285592,1,0
32,-140.1586459,38,0
32,-139.0887326,12,0
32,-138.0188192,143,0
32,-136.9489059,182,0.005494506
32,-135.8789926,452,0
32,-134.8090792,648,0
32,-133.7391659,480,0
32,-132.6692526,163,0
32,-131.5993393,900,0
32,-130.5294259,791,0
32,-129.4595126,2048,0.000488281
32,-128.3895993,3280,0.00152439
32,-127.319686,4638,0.001078051
32,-126.2497726,3868,0.000258532
32,-125.1798593,5250,0.00152381
32,-124.109946,5044,0
32,-123.0400326,1305,0.001532567
32,-121.9701193,968,0.001033058
32,-120.900206,976,0.00102459
32,-119.8302927,4159,0.003125751
32,-118.7603793,5957,0.001007218
32,-117.690466,24733,0.000566045
32,-116.6205527,17346,0.003516661
32,-115.5506394,1,0
32,-113.4108127,6,0.166666667
32,-112.3408994,11,0.090909091
32,-94.1523728,110,0.118181818
32,-93.08245948,3780,0.002116402
32,-92.01254615,3382,0.004139562
32,-90.94263282,50739,0.003291354
32,-88.80280617,181,0.005524862
32,-87.73289284,14246,0.002807806
32,-82.3833262,1,0
32,-81.31341288,65225,0.002376389
32,-80.24349955,65528,0.000824075
32,-79.17358622,17150,0.000466472
32,-78.10367289,4447,0.000224871
32,-77.03375957,2462,0
32,-75.96384624,2090,0
32,-74.89393291,1153,0
32,-73.82401959,416,0.002403846
32,-72.75410626,382,0.002617801
32,-71.68419293,136,0.014705882
32,-70.6142796,56,0
32,-69.54436628,21,0
32,-68.47445295,14,0
33,-141.8817241,3,0
33,-140.8068625,5,0.2
33,-139.732001,2,0
33,-138.6571394,55,0.018181818
33,-137.5822779,236,0.008474576
33,-136.5074163,515,0
33,-135.4325548,421,0.002375297
33,-134.3576932,968,0.001033058
33,-133.2828317,1316,0.000759878
33,-132.2079701,1244,0.000803859
33,-131.1331086,1185,0
33,-130.058247,940,0
33,-128.9833855,1147,0.003487358
33,-127.908524,3749,0.004001067
33,-126.8336624,5210,0.00134357
33,-125.7588009,3525,0.002269504
33,-124.6839393,2698,0.002594515
33,-123.6090778,1652,0.001210654
33,-122.5342162,1718,0.001164144
33,-121.4593547,2626,0.001142422
33,-120.3844931,5807,0.000516618
33,-119.3096316,14035,0.002422515
33,-118.23477,93279,0.004491901
33,-117.1599085,72256,0.008926594
33,-113.9353239,20,0
33,-112.8604623,24,0
33,-92.43809294,672,0.001488095
33,-91.3632314,2739,0.015334064
33,-88.13864676,36176,0.001437417
33,-87.06378521,2068,0.003868472
33,-80.61461594,10242,0.001562195
33,-79.53975439,121162,0.00239349
33,-78.46489285,28902,0.000242198
33,-77.3900313,12206,0.000245781
33,-76.31516976,4639,0.000431127
33,-75.24030821,1248,0.000801282
33,-74.16544666,930,0.001075269
33,-73.09058512,205,0
33,-72.01572357,238,0.008403361
33,-70.94086203,90,0
33,-69.86600048,37,0
33,-68.79113893,5,0
34,-142.5645621,7,0
34,-141.4845276,51,0.019607843
34,-140.404493,26,0.038461539
34,-139.3244585,98,0.010204082
34,-138.2444239,297,0.003367003
34,-137.1643893,370,0.002702703
34,-136.0843548,600,0
34,-135.0043202,775,0
34,-133.9242856,974,0
34,-132.8442511,1286,0.000777605
34,-131.7642165,1350,0
34,-130.684182,1814,0
34,-129.6041474,2536,0.000788644
34,-128.5241128,2141,0.000934143
34,-127.4440783,4836,0.003101737
34,-126.3640437,5699,0.000877347
34,-125.2840092,5790,0.000345423
34,-124.2039746,3831,0.001827199
34,-123.12394,4361,0
34,-122.0439055,7623,0.000262364
34,-120.9638709,25066,0.000797894
34,-119.8838363,69549,0.005334369
34,-118.8038018,107782,0.00861925
34,-117.7237672,85160,0.012141851
34,-115.5636981,1,1
34,-91.80293774,12766,0.004386652
34,-90.72290318,65093,0.004654878
34,-88.56283406,20272,0.001430545
34,-87.48279949,7,0
34,-86.40276493,3447,0.007252684
34,-78.842523,25806,0.001588778
34,-77.76248844,74337,0.00137213
34,-76.68245388,29208,0.000308135
34,-75.60241932,9789,0.000408622
34,-74.52238475,883,0.002265006
34,-73.44235019,162,0.00617284
34,-72.36231563,16,0
34,-71.28228107,2,0
35,-142.1927501,41,0
35,-141.1073093,20,0
35,-140.0218684,60,0
35,-138.9364276,197,0.025380711
35,-137.8509867,542,0.001845019
35,-136.7655459,692,0.001445087
35,-135.6801051,938,0.002132196
35,-134.5946642,1046,0.001912046
35,-133.5092234,1523,0
35,-132.4237825,1663,0
35,-131.3383417,1950,0
35,-130.2529009,2457,0
35,-129.16746,2732,0.000366032
35,-128.0820192,4158,0.0002405
35,-126.9965783,4201,0.000476077
35,-125.9111375,4970,0.000201207
35,-124.8256967,2025,0
35,-123.7402558,2496,0.000400641
35,-122.654815,7206,0.001804052
35,-121.5693741,19501,0.000512794
35,-120.4839333,6591,0.002124109
35,-118.3130516,14,0.214285714
35,-116.1421699,6,0.333333333
35,-95.51879396,961,0
35,-94.43335312,8325,0.000840841
35,-93.34791228,9016,0.000776398
35,-92.26247144,13798,0.004565879
35,-91.1770306,199,0
35,-90.09158976,111807,0.009918878
35,-89.00614892,301,0.003322259
35,-87.92070808,20244,0.002716854
35,-86.83526724,5922,0.003714961
35,-85.7498264,3888,0.00308642
35,-84.66438556,65,0
35,-81.40806304,1,0
35,-80.3226222,1,0
35,-78.15174051,1,0
35,-77.06629967,71396,0.001988907
35,-75.98085883,62329,0.0006578
35,-74.89541799,28651,0.000209417
35,-73.80997715,529,0
35,-72.72453631,1,0
35,-71.63909547,4,0.25
36,-144.0238076,8,0
36,-142.9327181,5,0
36,-141.8416287,3,0
36,-140.7505392,17,0
36,-139.6594498,30,0
36,-138.5683603,23,0
36,-137.4772708,79,0
36,-136.3861814,380,0
36,-135.2950919,1059,0
36,-134.2040025,1336,0.000748503
36,-133.112913,1916,0
36,-132.0218236,1832,0.000545852
36,-130.9307341,2046,0
36,-129.8396447,1979,0.000505306
36,-128.7485552,2554,0
36,-127.6574658,3512,0
36,-126.5663763,3638,0
36,-125.4752869,1881,0
36,-124.3841974,1972,0.003549696
36,-123.293108,11956,0.00092004
36,-122.2020185,19516,0.00035868
36,-121.1109291,2894,0
36,-120.0198396,1,1
36,-117.8376607,1,1
36,-96.0158717,4397,0.003411417
36,-94.92478225,5557,0.001439626
36,-90.56042445,236,0
36,-89.469335,95787,0.00184785
36,-88.37824555,567,0.005291005
36,-87.28715609,10170,0.00245821
36,-86.19606664,5610,0.005525847
36,-85.10497719,465,0
36,-84.01388774,530,0.022641509
36,-77.46735103,8,0
36,-76.37626158,26861,0.001116861
36,-75.28517213,58710,0.00100494
36,-74.19408268,11566,0.000778143
36,-73.10299323,254,0.003937008
37,-144.8026952,11,0
37,-142.608715,33,0
37,-141.5117248,64,0.015625
37,-140.4147347,6,0
37,-139.3177446,93,0.010752688
37,-138.2207545,188,0
37,-137.1237644,369,0
37,-136.0267743,360,0.002777778
37,-134.9297841,863,0
37,-133.832794,694,0
37,-132.7358039,896,0
37,-131.6388138,2665,0.003377111
